scenario,repetition,scheme,test_cindex,test_cindex_gain,support_recovery,no_relation,censoring_fraction
R1_one_reliable,36,joint_m0,0.5817805383022774,0.0041407867494823725,0.75,0.0,0.38611111111111107
R1_one_reliable,36,joint_m005,0.5817805383022774,0.0041407867494823725,0.75,0.0,0.38611111111111107
R1_one_reliable,36,joint_m010,0.5817805383022774,0.0041407867494823725,0.75,0.0,0.38611111111111107
R1_one_reliable,36,joint_m020,0.5817805383022774,0.0041407867494823725,0.75,0.0,0.38611111111111107
R1_one_reliable,37,joint_m0,0.5696048632218845,0.0,0.2,1.0,0.4222222222222223
R1_one_reliable,37,joint_m005,0.5696048632218845,0.0,0.2,1.0,0.4222222222222223
R1_one_reliable,37,joint_m010,0.5696048632218845,0.0,0.2,1.0,0.4222222222222223
R1_one_reliable,37,joint_m020,0.5696048632218845,0.0,0.2,1.0,0.4222222222222223
R1_one_reliable,38,joint_m0,0.486765655261459,-0.034861200774693346,0.25,0.0,0.4111111111111111
R1_one_reliable,38,joint_m005,0.486765655261459,-0.034861200774693346,0.25,0.0,0.4111111111111111
R1_one_reliable,38,joint_m010,0.486765655261459,-0.034861200774693346,0.25,0.0,0.4111111111111111
R1_one_reliable,38,joint_m020,0.486765655261459,-0.034861200774693346,0.25,0.0,0.4111111111111111
R1_one_reliable,39,joint_m0,0.6925746009715475,0.03747397640527417,0.75,0.0,0.40555555555555556
R1_one_reliable,39,joint_m005,0.6925746009715475,0.03747397640527417,0.75,0.0,0.40555555555555556
R1_one_reliable,39,joint_m010,0.6925746009715475,0.03747397640527417,0.75,0.0,0.40555555555555556
R1_one_reliable,39,joint_m020,0.6925746009715475,0.03747397640527417,0.75,0.0,0.40555555555555556
R1_one_reliable,40,joint_m0,0.6124375347029428,0.0477512493059411,0.7,0.0,0.3944444444444445
R1_one_reliable,40,joint_m005,0.6124375347029428,0.0477512493059411,0.7,0.0,0.3944444444444445
R1_one_reliable,40,joint_m010,0.6124375347029428,0.0477512493059411,0.7,0.0,0.3944444444444445
R1_one_reliable,40,joint_m020,0.6124375347029428,0.0477512493059411,0.7,0.0,0.3944444444444445
R1_one_reliable,41,joint_m0,0.583868665239115,-0.013561741613133393,0.55,0.0,0.37777777777777777
R1_one_reliable,41,joint_m005,0.583868665239115,-0.013561741613133393,0.55,0.0,0.37777777777777777
R1_one_reliable,41,joint_m010,0.583868665239115,-0.013561741613133393,0.55,0.0,0.37777777777777777
R1_one_reliable,41,joint_m020,0.583868665239115,-0.013561741613133393,0.55,0.0,0.37777777777777777
R1_one_reliable,42,joint_m0,0.5455037919826652,-0.00650054171180936,0.65,0.0,0.38055555555555554
R1_one_reliable,42,joint_m005,0.5455037919826652,-0.00650054171180936,0.65,0.0,0.38055555555555554
R1_one_reliable,42,joint_m010,0.5455037919826652,-0.00650054171180936,0.65,0.0,0.38055555555555554
R1_one_reliable,42,joint_m020,0.5455037919826652,-0.00650054171180936,0.65,0.0,0.38055555555555554
R1_one_reliable,43,joint_m0,0.5548071034905082,0.050214329454990714,0.6,0.0,0.4111111111111111
R1_one_reliable,43,joint_m005,0.5548071034905082,0.050214329454990714,0.6,0.0,0.4111111111111111
R1_one_reliable,43,joint_m010,0.5462339252908757,0.041641151255358166,0.45,0.0,0.4111111111111111
R1_one_reliable,43,joint_m020,0.5462339252908757,0.041641151255358166,0.45,0.0,0.4111111111111111
