cancer,split_seed,train_n,test_n,test_events,gate_margin,no_graph_cindex,reconstructed_cindex,fixed_cindex,fixed_minus_reconstructed,top20_overlap,top20_jaccard,reconstructed_mode,fixed_mode,route_agreement,reconstructed_reject,fixed_reject,runtime_seconds,source_json
LIHC,7301,250,108,38,0.01,0.540692989524577,0.5310233682514102,0.5447219983883964,0.013698630136986245,17,0.7391304347826086,dual_driven,dual_driven,True,False,False,4077.7660217285156,LIHC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,42,217,94,31,0.01,0.644157369348209,0.644157369348209,0.644157369348209,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,4380.506454944611,KIRC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,2025,217,94,31,0.01,0.7269029633933759,0.7269029633933759,0.737361998837885,0.010459035444509102,18,0.8181818181818182,reject_all_graphs,dual_driven,False,True,False,4444.080125331879,KIRC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,7301,217,94,31,0.01,0.6597051597051597,0.6597051597051597,0.6597051597051597,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,3690.676781654358,KIRC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,42,189,81,20,0.01,0.617363344051447,0.6141479099678456,0.594855305466238,-0.019292604501607635,17,0.7391304347826086,dual_driven,dual_driven,True,False,False,5294.186071395874,COAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,2025,189,81,20,0.01,0.629424778761062,0.6548672566371682,0.629424778761062,-0.025442477876106206,19,0.9047619047619048,dual_driven,reject_all_graphs,False,False,True,3665.807490348816,COAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,7301,189,81,20,0.01,0.6527472527472528,0.6384615384615384,0.6384615384615384,0.0,20,1.0,dual_driven,dual_driven,True,False,False,3923.2094297409058,COAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,42,253,109,42,0.01,0.5663591199432222,0.5663591199432222,0.5684882895670689,0.002129169623846683,17,0.7391304347826086,reject_all_graphs,dual_driven,False,True,False,4532.114767789841,STAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,2025,253,109,42,0.01,0.5883244882486732,0.5883244882486732,0.5883244882486732,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,3268.2273058891296,STAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,7301,253,109,42,0.01,0.6265320836337419,0.6359048305695746,0.6409516943042538,0.005046863734679219,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,3069.9483473300934,STAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,42,359,154,65,0.01,0.6019047619047619,0.6019047619047619,0.6019047619047619,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,4614.381976604462,HNSC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,2025,359,154,65,0.01,0.6054859464950897,0.6103962072468676,0.6032847951236031,-0.007111412123264493,18,0.8181818181818182,dual_driven,dual_driven,True,False,False,4604.3879301548,HNSC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,7301,359,154,65,0.01,0.5924974306269271,0.5924974306269271,0.5924974306269271,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,1965.9631979465485,HNSC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
